indiv_nurse,screen_name,username,tweets,followers,following,SA,bio
,@talnit8,Nita Tallus,114,16,109,698,"practical nurse at HUS, Meilahti #IBD #HIFK #Cycling"
,@Find_a_Nurse,ParamountRecruitment,138,90,252,"1,843","Specialise in placing nurses DERM, LASER, AESTHETICS, CARE HOME, HOSPITALS, MANAGEMENT call 01614855852 email CV christine@paramountrecruitment.com"
,@luillo009,luillo!,122,91,206,351,19. nurse to be. (PR)
,@thrower_rachel,rachel thrower,108,53,456,738,"Trained chef gave up to go into. Nursing , married my husband Neil in 1996 but sadly lost him to cancer 2005 at 48 years old. Now in education and counselling"
,@christinelo14,Christine Henham,199,78,339,"1,669","formally Christine Lockwood...Mental Health Nurse, NHS Manager, Passionate about mental health .... And my husband and boys...views my own... Mainly!"
,@NicBraid,Nicola Braid,177,161,181,"1,098",A passionate learning disability nurse in Scotland #ECCF fellow 2014 :-) 'You must be the change you hope to see in the world'
,@Jaxster08,Jackie Gortney,193,27,176,"2,429",Billy's wife.Nurse.Momtogavinandgrayson
,@JessicaDawahare,Jessica dawahare,171,38,123,"2,391","UK CATS fan!, Dog person, Gluten Free, Nurse, and most importantly, MOMMY!!"
,@debbzster,debbie alder,187,114,393,"2,079",A community nurse and independent parent of two little men in the making. As unique as everyone else. All views my own.
,@05_22_14,ϬJASSϬ,132,221,762,267,soon to be Nurse
,@OtienoJunior,Otieno Junior,182,46,171,"1,118",A committed Adventist Nurse who works with minimal supervision and has the patients at heart. An outgoing young Kenyan from Siaya County.
,@LizardBeeLiz,Elizabeth,125,22,64,"1,129","Nursing student by day, random anime junkie by night. In some alternate universe I think I'm cool, somewhere..."
,@KieranKinsella,Kieran Kinsella,101,90,111,"2,293","A senior nurse with passion for mental health, nursing and leadership. Views expressed are my own."
,@dewitadelfi,Rahma Dewita Sopha,102,36,159,"1,209",I'm a nurse.... _ and lucky wife..:)
,@kelseyagrant,Kelsey Grant,129,146,158,"1,463","Sports enthousiast, future Nurse and Miss Teen Newfoundland 2015 contestant"
,@harwood_shelley,Shelley Harwood,165,91,241,"2,475","Children's Nurse, with interests in organ donation awareness raising, a mad springer spaniel called Bonnie a rather dishy Husband and a beautiful little boy !"
,@Ric_Red_22,ace,117,101,142,"1,387",actor model rapper nurse assistant (Yes i follow back Do you) ?
