@relation annotated_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
66,286,0,9,0,1,0,21,1,0,0,yes
18,94,1,6,0,0,0,10,2,1,0,yes
117,191,2,3,2,0,1,15,1,0,0,yes
69,240,1,2,1,0,0,9,2,0,0,yes
232,257,1,1,1,1,0,4,2,0,0,yes
289,268,0,6,0,0,0,4,0,0,0,yes
451,101,0,6,0,1,0,18,2,0,0,yes
238,245,2,8,2,0,0,15,3,0,0,yes
751,802,3,11,0,1,0,26,2,0,0,yes
371,1342,1,0,0,1,2,9,0,8,1,no
124,164,0,1,0,3,0,13,2,0,0,yes
204,487,0,0,0,1,0,9,2,0,0,yes
382,304,0,7,0,0,0,12,3,0,0,yes
209,445,1,9,0,2,1,4,0,6,2,no
104,166,0,4,0,0,0,4,1,0,0,yes
352,454,0,14,0,0,0,16,1,0,0,yes
196,356,1,9,0,0,0,7,1,0,0,yes
369,719,0,3,0,0,0,3,2,0,0,yes
24,226,0,4,0,0,0,4,2,1,0,yes
89,89,0,0,0,0,0,0,1,0,0,yes
94,142,2,4,1,1,0,18,2,0,0,yes
100,140,2,2,0,3,0,10,3,0,0,yes
41,85,0,0,0,1,1,12,2,0,0,yes
25,181,1,4,0,0,0,15,1,0,0,yes
231,274,0,0,0,1,0,5,2,0,0,yes
71,249,2,9,0,2,0,24,2,0,0,yes
122,130,0,2,0,0,0,2,3,0,0,yes
300,373,0,4,0,0,0,4,4,0,0,yes
33,103,0,0,0,0,0,0,0,0,1,no
54,372,0,6,0,2,0,11,3,0,0,yes
64,138,4,0,4,0,0,6,1,0,0,yes
204,475,0,0,0,0,0,3,3,0,0,yes
95,148,0,6,0,2,0,19,2,0,0,yes
87,255,1,5,1,3,0,13,2,0,0,yes
86,343,3,2,0,0,0,8,2,0,0,yes
151,497,0,4,0,1,0,14,1,1,0,yes
18,126,1,4,0,0,0,8,1,1,0,yes
282,283,1,10,0,0,0,20,2,0,0,yes
57,14,0,10,0,0,0,14,1,0,0,yes
105,283,1,13,1,0,0,14,2,0,0,yes
639,1375,1,6,0,0,2,5,0,10,2,no
122,249,2,3,2,3,0,14,2,1,0,yes
62,172,2,0,2,2,0,19,2,0,0,yes
65,127,0,15,0,0,0,3,0,10,2,no
89,323,0,5,0,0,0,9,1,1,0,yes
157,346,0,3,0,0,0,2,2,0,0,yes
45,81,0,3,0,0,0,5,1,0,0,yes
307,686,0,5,0,0,0,10,1,0,0,yes
13,24,0,10,0,0,0,22,2,1,0,yes
58,88,0,6,0,0,0,11,3,0,0,yes
232,302,3,1,3,1,0,5,2,2,0,yes
47,66,0,9,0,0,0,10,2,0,0,yes
48,137,0,0,0,0,0,1,3,0,0,yes
31,66,0,3,0,2,0,10,2,0,0,yes
289,75,0,9,0,0,0,6,2,0,0,yes
135,103,0,0,0,0,0,0,0,0,2,no
166,344,2,0,0,2,0,12,2,0,0,yes
24,110,0,4,0,0,0,13,3,1,0,yes
121,255,1,0,1,2,0,15,1,0,0,yes
1320,1073,5,8,3,0,0,20,1,0,0,yes
191,157,3,4,0,0,0,11,1,0,0,yes
142,123,0,9,0,0,0,16,2,0,0,yes
491,447,1,5,0,1,0,8,3,0,0,yes
193,248,0,3,0,0,0,6,2,0,0,yes
312,280,0,3,0,0,0,16,2,0,0,yes
245,217,0,2,0,2,0,8,1,0,0,yes
