screen_name,followers_count,following_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,name_auto_Yes_freq_terms,bio_auto_No_freq_terms,name_auto_No_freq_terms,class
@thns_1,28187,129,0,9,0,0,0,6,0,2,0,yes
@AmberCostelo,24697,1688,0,3,0,1,0,3,1,0,0,no
@CaptMorganized,23067,60,0,9,0,0,0,2,1,0,0,yes
@NursingHomesUSA,20490,864,1,6,0,0,0,3,0,0,0,no
@emmaroot,10989,9721,4,2,1,4,0,19,1,0,0,yes
@ladyjaylon23,9568,10737,1,3,0,2,0,6,0,0,0,no
@RangeetaBhamra,9541,1642,0,4,0,0,0,8,0,1,0,yes
@ShadowCare,8925,392,1,0,0,0,0,7,0,1,0,yes
@BrentAureli,7990,74,3,11,2,1,0,12,0,0,0,?
@kingShimmyyy,7952,6475,0,4,0,0,0,1,1,0,0,?
@LynzieCox,6404,6499,3,5,2,3,0,20,0,1,0,?
@WuJiabin1,5773,7936,1,1,0,0,0,3,0,0,0,?
@SarahJane_x21,5643,3947,0,5,0,0,0,3,1,0,0,?
@ShirleyFaucher,5408,6518,2,0,1,3,0,15,0,2,0,?
@BalesMoro,4667,527,4,3,3,0,0,9,0,0,0,?
@seabaughs,4543,8,2,3,0,0,0,17,0,1,0,?
@nursing_rec,4254,45,3,2,1,0,0,13,0,0,0,?
@Marandabr,3514,4066,2,0,1,3,0,15,0,2,0,?
@ThePatriotNurse,2959,68,0,7,1,0,0,12,0,0,0,?
@Rnsociety,2928,2857,0,2,0,0,0,8,0,0,0,?
@RobynGemmell,2890,3118,1,0,1,0,0,4,0,1,0,?
@Lisa_Antoinette,2811,2942,1,3,1,1,0,10,0,0,0,?
@shigeo038,2803,3068,1,2,1,0,0,5,0,0,0,?
@collingswoodnsg,2774,3216,2,2,1,0,0,12,0,0,0,?
@donnaple,2679,2330,1,0,1,0,1,9,1,0,0,?
@shanshanchua,2557,3102,3,0,1,2,0,17,0,1,0,?
@kglusuegro,2547,97,1,19,1,0,0,4,0,0,0,?
@CREATORBLESSED,2388,3425,0,7,0,1,0,8,0,2,0,?
@Lori_Slocum,2338,384,0,5,0,0,0,4,0,2,0,?
@DevotedMcCall,2345,965,6,1,4,0,0,12,1,1,0,?
@gaucyhealth,2165,640,2,1,1,0,0,16,0,0,0,?
@HilaryDownhill,2130,6,1,6,0,2,0,16,0,0,0,?
@NevilleInc,2115,1848,0,2,0,0,0,13,0,0,0,?
@NatDavidian,1998,2078,0,7,0,0,0,9,1,1,0,?
@MaryRadfordRN,1980,25,1,6,0,0,0,9,1,0,0,?
@lmsteinmann,1971,2177,0,5,0,0,0,15,0,1,1,?
@sarahwenger,1927,1970,0,4,0,0,0,9,0,2,0,?
@nurseproblems,1909,0,0,0,0,0,0,1,0,0,0,?
@nmcevents,1912,1849,0,3,0,0,0,8,0,4,0,?
@MsElineD,1868,2428,2,4,0,1,0,9,0,0,0,?
@Curanobis,1840,2604,1,4,0,0,0,17,0,0,0,?
@sweet1suzanne,1838,2199,0,9,0,0,0,9,0,1,1,?
@TexasNursesAssn,1833,77,0,2,0,0,0,1,1,2,0,?
@Paola_Lomeli87,1748,631,0,2,0,1,0,4,0,0,0,?
@RealTalkRN,1688,66,1,2,1,0,0,8,1,0,1,?
@Seershashamanka,1593,1749,0,16,0,0,0,5,0,0,0,?
@A_ichyyy,1588,1996,1,6,0,0,0,0,0,1,0,?
@DreamingAtHome,1548,1896,0,6,0,0,0,2,1,1,0,?
@imlanceserrano,1492,54,5,8,2,2,0,11,0,0,0,?
@therebelcoach,1448,127,1,8,0,0,0,11,0,0,0,?
@anasolomxp,1352,1272,0,5,0,0,0,1,0,1,0,?
@Chiaki_Morita,1331,53,0,11,0,0,0,7,0,0,0,?
@KacieLuvsUganda,1311,1806,0,3,0,0,0,12,0,0,0,?
@crossfitguy_15,1288,384,2,2,1,0,0,10,0,0,0,?
@CNA_Training_,1280,1425,0,6,0,0,0,8,0,1,0,?
@kristinewanders,1476,1374,3,4,2,1,0,12,1,2,0,?
@nursinglyf,1253,1915,0,0,0,0,0,1,0,0,0,?
@ShortstuffPrice,1249,333,1,8,0,0,0,5,0,0,0,?
@RNstories,1245,78,1,3,0,0,0,6,0,1,0,?
@Ryo_FA7,1244,151,0,19,0,0,0,2,0,0,0,?
@kabynyvorekifi,1210,1454,2,0,0,1,1,8,0,4,0,?
@KobeBeefWagyu,1198,1262,1,1,1,1,0,9,0,0,0,?
@meridianmed,1189,1865,0,12,0,0,0,12,0,0,0,?
@DaleLutes,1188,1865,2,1,2,0,0,12,1,2,0,?
@rotydigakedip,1187,1305,0,1,0,0,1,2,0,5,0,?
@npclinics,1175,1949,0,4,0,0,0,2,0,1,0,?
@mdenrn,1161,1679,0,2,0,0,0,0,0,0,0,?
@xidefyqoceno,1155,1278,0,0,0,0,3,4,0,8,0,?
@PaganFrondt,1155,1354,0,0,0,0,1,4,0,2,0,?
@ctislav,1148,1357,0,0,0,0,1,4,0,4,0,?
@Anointed2015,1148,2061,3,4,2,1,0,13,0,0,0,?
@CGrigoroni,1147,1356,1,1,0,0,1,1,0,3,0,?
@francus_fennell,1144,1349,0,0,0,1,1,6,0,2,0,?
@HMuckersie,1139,1379,1,0,1,0,2,1,0,5,0,?
@GodonMadock,1109,1338,0,0,0,0,3,3,0,12,2,?
@NotmanFarahnak,1108,1364,0,1,0,0,1,5,0,5,0,?
@divon_fashion,1106,1335,0,0,0,0,1,6,0,7,0,?
@FoucherArdouyd,1104,1327,0,1,0,0,1,7,0,3,0,?
@nursinghomepro,1101,1221,1,6,0,0,0,8,0,1,0,?
@DelicateAkinobu,1097,1323,0,0,0,0,1,6,0,3,0,?
@MccullenCaritas,1089,1339,1,1,0,0,1,4,0,5,0,?
@1dkidd,1076,1636,2,2,1,0,0,10,0,1,0,?
@the_model_100,1076,2059,1,1,2,1,0,9,0,0,0,?
@nurseanesthesia,1075,10,0,0,0,0,0,0,0,0,0,?
