@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
28187,129,0,9,0,0,0,6,0,2,0,yes
24697,1688,0,3,0,1,0,3,1,0,0,no
23067,60,0,9,0,0,0,2,1,0,0,yes
20490,864,1,6,0,0,0,3,0,0,0,no
10989,9721,4,2,1,4,0,19,1,0,0,yes
9568,10737,1,3,0,2,0,6,0,0,0,no
9541,1642,0,4,0,0,0,8,0,1,0,yes
8925,392,1,0,0,0,0,7,0,1,0,yes
7990,74,3,11,2,1,0,12,0,0,0,?
7952,6475,0,4,0,0,0,1,1,0,0,?
6404,6499,3,5,2,3,0,20,0,1,0,?
5773,7936,1,1,0,0,0,3,0,0,0,?
5643,3947,0,5,0,0,0,3,1,0,0,?
5408,6518,2,0,1,3,0,15,0,2,0,?
4667,527,4,3,3,0,0,9,0,0,0,?
4543,8,2,3,0,0,0,17,0,1,0,?
4254,45,3,2,1,0,0,13,0,0,0,?
3514,4066,2,0,1,3,0,15,0,2,0,?
2959,68,0,7,1,0,0,12,0,0,0,?
2928,2857,0,2,0,0,0,8,0,0,0,?
2890,3118,1,0,1,0,0,4,0,1,0,?
2811,2942,1,3,1,1,0,10,0,0,0,?
2803,3068,1,2,1,0,0,5,0,0,0,?
2774,3216,2,2,1,0,0,12,0,0,0,?
2679,2330,1,0,1,0,1,9,1,0,0,?
2557,3102,3,0,1,2,0,17,0,1,0,?
2547,97,1,19,1,0,0,4,0,0,0,?
2388,3425,0,7,0,1,0,8,0,2,0,?
2338,384,0,5,0,0,0,4,0,2,0,?
2345,965,6,1,4,0,0,12,1,1,0,?
2165,640,2,1,1,0,0,16,0,0,0,?
2130,6,1,6,0,2,0,16,0,0,0,?
2115,1848,0,2,0,0,0,13,0,0,0,?
1998,2078,0,7,0,0,0,9,1,1,0,?
1980,25,1,6,0,0,0,9,1,0,0,?
1971,2177,0,5,0,0,0,15,0,1,1,?
1927,1970,0,4,0,0,0,9,0,2,0,?
1909,0,0,0,0,0,0,1,0,0,0,?
1912,1849,0,3,0,0,0,8,0,4,0,?
1868,2428,2,4,0,1,0,9,0,0,0,?
1840,2604,1,4,0,0,0,17,0,0,0,?
1838,2199,0,9,0,0,0,9,0,1,1,?
1833,77,0,2,0,0,0,1,1,2,0,?
1748,631,0,2,0,1,0,4,0,0,0,?
1688,66,1,2,1,0,0,8,1,0,1,?
1593,1749,0,16,0,0,0,5,0,0,0,?
1588,1996,1,6,0,0,0,0,0,1,0,?
1548,1896,0,6,0,0,0,2,1,1,0,?
1492,54,5,8,2,2,0,11,0,0,0,?
1448,127,1,8,0,0,0,11,0,0,0,?
1352,1272,0,5,0,0,0,1,0,1,0,?
1331,53,0,11,0,0,0,7,0,0,0,?
1311,1806,0,3,0,0,0,12,0,0,0,?
1288,384,2,2,1,0,0,10,0,0,0,?
1280,1425,0,6,0,0,0,8,0,1,0,?
1476,1374,3,4,2,1,0,12,1,2,0,?
1253,1915,0,0,0,0,0,1,0,0,0,?
1249,333,1,8,0,0,0,5,0,0,0,?
1245,78,1,3,0,0,0,6,0,1,0,?
1244,151,0,19,0,0,0,2,0,0,0,?
1210,1454,2,0,0,1,1,8,0,4,0,?
1198,1262,1,1,1,1,0,9,0,0,0,?
1189,1865,0,12,0,0,0,12,0,0,0,?
1188,1865,2,1,2,0,0,12,1,2,0,?
1187,1305,0,1,0,0,1,2,0,5,0,?
1175,1949,0,4,0,0,0,2,0,1,0,?
1161,1679,0,2,0,0,0,0,0,0,0,?
1155,1278,0,0,0,0,3,4,0,8,0,?
1155,1354,0,0,0,0,1,4,0,2,0,?
1148,1357,0,0,0,0,1,4,0,4,0,?
1148,2061,3,4,2,1,0,13,0,0,0,?
1147,1356,1,1,0,0,1,1,0,3,0,?
1144,1349,0,0,0,1,1,6,0,2,0,?
1139,1379,1,0,1,0,2,1,0,5,0,?
1109,1338,0,0,0,0,3,3,0,12,2,?
1108,1364,0,1,0,0,1,5,0,5,0,?
1106,1335,0,0,0,0,1,6,0,7,0,?
1104,1327,0,1,0,0,1,7,0,3,0,?
1101,1221,1,6,0,0,0,8,0,1,0,?
1097,1323,0,0,0,0,1,6,0,3,0,?
1089,1339,1,1,0,0,1,4,0,5,0,?
1076,1636,2,2,1,0,0,10,0,1,0,?
1076,2059,1,1,2,1,0,9,0,0,0,?
1075,10,0,0,0,0,0,0,0,0,0,?
1072,874,4,5,3,0,0,11,0,1,0,?
1071,1359,0,1,0,0,1,4,0,6,0,?
1069,1294,0,3,0,0,1,10,0,0,0,?
1080,221,1,5,0,0,0,12,0,0,0,?
1059,1914,0,5,0,0,0,8,0,0,0,?
1068,34,1,6,0,1,0,11,0,0,0,?
1040,1783,2,19,2,0,0,11,0,1,0,?
1045,580,0,0,0,0,0,1,0,0,0,?
1029,1976,2,2,2,1,1,10,0,0,0,?
1021,1987,2,0,1,0,0,18,0,0,0,?
1019,1398,3,4,1,0,0,12,0,0,0,?
1019,80,0,4,0,0,1,4,0,1,0,?
1019,1982,0,3,0,1,0,8,0,1,0,?
1005,1036,3,0,2,1,0,5,0,1,0,?
1003,1868,2,2,7,1,0,10,0,0,0,?
997,1301,3,2,3,2,0,14,0,0,0,?
994,1726,0,0,0,0,0,0,0,0,0,?
987,1278,2,10,1,0,0,11,1,0,0,?
1017,307,0,2,0,0,0,4,0,0,0,?
982,1141,0,0,0,0,0,0,1,0,0,?
1025,1758,0,15,0,0,0,6,0,1,0,?
966,2046,2,0,1,0,0,10,0,1,0,?
966,1996,0,13,0,0,0,9,0,0,0,?
964,1940,3,4,1,0,0,17,0,0,0,?
985,103,0,6,0,1,1,6,0,0,0,?
958,1824,0,2,0,0,0,3,0,0,0,?
955,144,0,8,0,0,0,2,0,0,0,?
953,48,0,15,0,0,0,11,0,0,0,?
953,1898,0,11,0,0,0,11,0,2,0,?
949,149,2,0,1,2,0,8,0,1,0,?
949,1980,0,5,0,1,0,11,1,1,0,?
948,99,1,2,0,0,0,6,0,2,0,?
929,53,1,5,0,2,0,13,1,1,0,?
