screen_name,predicted
@thns_1,2:no
@AmberCostelo,1:yes
@CaptMorganized,1:yes
@NursingHomesUSA,1:yes
@emmaroot,1:yes
@ladyjaylon23,1:yes
@RangeetaBhamra,2:no
@ShadowCare,1:yes
@BrentAureli,1:yes
@kingShimmyyy,1:yes
@LynzieCox,1:yes
@WuJiabin1,1:yes
@SarahJane_x21,2:no
@ShirleyFaucher,1:yes
@BalesMoro,1:yes
@seabaughs,1:yes
@nursing_rec,1:yes
@Marandabr,2:no
@ThePatriotNurse,1:yes
@Rnsociety,2:no
@RobynGemmell,2:no
@Lisa_Antoinette,2:no
@shigeo038,2:no
@collingswoodnsg,2:no
@donnaple,1:yes
@shanshanchua,2:no
@kglusuegro,1:yes
@CREATORBLESSED,2:no
@Lori_Slocum,1:yes
@DevotedMcCall,1:yes
@gaucyhealth,1:yes
@HilaryDownhill,1:yes
@NevilleInc,1:yes
@NatDavidian,1:yes
@MaryRadfordRN,1:yes
@lmsteinmann,2:no
@sarahwenger,2:no
@nurseproblems,1:yes
@nmcevents,2:no
@MsElineD,2:no
@Curanobis,1:yes
@sweet1suzanne,2:no
@TexasNursesAssn,1:yes
@Paola_Lomeli87,1:yes
@RealTalkRN,1:yes
@Seershashamanka,2:no
@A_ichyyy,2:no
@DreamingAtHome,1:yes
@imlanceserrano,1:yes
@therebelcoach,1:yes
@anasolomxp,2:no
@Chiaki_Morita,1:yes
@KacieLuvsUganda,1:yes
@crossfitguy_15,1:yes
@CNA_Training_,1:yes
@kristinewanders,1:yes
@nursinglyf,2:no
@ShortstuffPrice,1:yes
@RNstories,1:yes
@Ryo_FA7,1:yes
@kabynyvorekifi,2:no
@KobeBeefWagyu,1:yes
@meridianmed,1:yes
@DaleLutes,1:yes
@rotydigakedip,2:no
@npclinics,2:no
@mdenrn,2:no
@xidefyqoceno,2:no
@PaganFrondt,2:no
@ctislav,2:no
@Anointed2015,1:yes
@CGrigoroni,2:no
@francus_fennell,2:no
@HMuckersie,2:no
@GodonMadock,2:no
@NotmanFarahnak,2:no
@divon_fashion,2:no
@FoucherArdouyd,2:no
@nursinghomepro,1:yes
@DelicateAkinobu,2:no
@MccullenCaritas,2:no
@1dkidd,1:yes
@the_model_100,2:no
@nurseanesthesia,1:yes
@MiamiCPR,1:yes
@qodowuwydugyj,2:no
@HowHotareWe,2:no
@RegalCareHomes,1:yes
@care4nurses,2:no
@JWCNO,1:yes
@LonnieZingaro,2:no
@auroraskilaki,1:yes
@AnimalRescueArk,2:no
@bsmarek75,1:yes
@NursesStillCare,1:yes
@UKLDNursing,2:no
@lani_besin,2:no
@johairah23,1:yes
@IvaCrnjakovi,2:no
@_Natural_Lover_,1:yes
@NurseeeeeDeniz,2:no
@nursingaccelera,1:yes
@happymumlondon,1:yes
@tweetnhealth,1:yes
@ShamballaHT,2:no
@thepuppyclinic,2:no
@AbbyHespah,2:no
@SimonAllan2001,1:yes
@aboriginalnurse,1:yes
@CincyNurse85,2:no
@KaakieOfficial,1:yes
@job_gulf,1:yes
@Rwmartin72,2:no
@Abbie_Bagley,1:yes
@mirandafraun,1:yes
@amnurseproject,2:no
@freeroamer99,1:yes
@AlleySara,1:yes
@OCCNursing,1:yes
@isela_karen,1:yes
@ThatStrangeGir1,1:yes
@chamonix_clinic,2:no
@shivani1114,1:yes
@mandyclawrence,1:yes
@ReginaJameson,2:no
@vancefan,1:yes
@NursesNotesOrg,1:yes
@helly1welly,2:no
@OkUniform,1:yes
@1436_absd,2:no
@DawnRN,1:yes
@BadAdviceNurse1,1:yes
@CharlottePlace1,1:yes
@slacours,2:no
@BCNursesUnion,2:no
@lamia_a1ii,2:no
@Marygabriel44,1:yes
@1ACTHNA,2:no
@waverleycareg,1:yes
@naiff1268,2:no
@Becklesx,1:yes
@allnursesrock2,2:no
@my_vetnurse,2:no
@mthembunokuthu1,1:yes
@LML_D9,2:no
@Chuck_G,1:yes
@debilesigger25,1:yes
@GC_Nexus,1:yes
@IMcG1983,1:yes
@FlorasMaria,2:no
@pinaroz1238,1:yes
@LoriBrabant,2:no
@LKPIndonesia,1:yes
@melissainfo,1:yes
@Nala9,1:yes
@JennShen04,1:yes
@jessica_kimchi,1:yes
@brucekraftjr,2:no
@dfmlayug,2:no
@prinsesajoanne,1:yes
@TaTasToGoLLC,1:yes
@Nursesdose,1:yes
@NSGschoolprobz,1:yes
@NurseAusmed,1:yes
@NicoleFrance2,1:yes
@NicoleAFranzel,1:yes
@NurseEducation,1:yes
@GrowYourDreams,1:yes
@StudentNHSnurse,1:yes
@WhistanceBen,1:yes
@back_buddy,1:yes
@alivetobeyou,2:no
@HelpingCare4You,1:yes
@BloomsBabyStuff,1:yes
@JorMusselwhite,1:yes
@Julianneclod,1:yes
@FromtheER,1:yes
@HRomnes,2:no
@carlyaesthetics,1:yes
@fatma_unl,2:no
@sacideedemir,1:yes
@MelanieSelleck,1:yes
@NannyTata,2:no
@francis13libog,1:yes
@woodyacme,2:no
@jess_x91,1:yes
@LoyalHana,1:yes
@SuzyHoy,1:yes
@Kelly_Peristeen,2:no
@disneyaddict11,2:no
@SusanGoings1,1:yes
@MzNisa3w,1:yes
@mydocjob,2:no
@chorleycarnival,1:yes
@Punc14Zena,1:yes
@USMCON,1:yes
@SWEETBOBBINS,2:no
@nickyfish12,1:yes
@essie2006,2:no
@MenopauseManiac,1:yes
@PassionSpice,1:yes
@KROHN2,1:yes
@womanofvirtue55,2:no
@belmorenurses,1:yes
@ADHDMurse,1:yes
@cpchamakalayil,2:no
@pinaywealth,1:yes
@1D_l000ve,2:no
@MedicalMisfits,1:yes
@IVF_Worldwide,1:yes
@TCNS_Says,2:no
@FloorNsgProbz,1:yes
@Sam86_1999,1:yes
@KaitlynnMadden,1:yes
@traumanurseNSW,1:yes
@danieltgaskin,2:no
@Blessyn08,2:no
@Trecia04,1:yes
@ConrisOxford,2:no
@colondetoxer,2:no
@SBSupplments,2:no
@SKINFINITY,1:yes
@Nurses_USA,1:yes
@marybtinker,1:yes
@SmoothAesthetic,2:no
@zummynewton,2:no
@punc14staceyc,1:yes
@simplyzen11,1:yes
@bethenyworkwear,2:no
@PDC_CORP,1:yes
@HealthProNurse,1:yes
@jacobsvictoria9,1:yes
@SThijzen,1:yes
@HeyyNurse,1:yes
@CKSieberns,1:yes
@AGHCareJobs,1:yes
@ConrisCardiff,2:no
@AskLearningLtd,2:no
@editorEN,1:yes
@MediAlertDevice,2:no
@0614_sana,1:yes
@StephanicholeM,2:no
@aaroncyuntalan,1:yes
@leoniejohnson07,1:yes
@KRolsma,1:yes
@CynthiaCindy37,2:no
@LisaKonopko,1:yes
@HousingNurses,1:yes
@morsak7,1:yes
@lisa_conyers,1:yes
@Rachel_Goddard_,1:yes
@AnnaWolverton,1:yes
@KatCassidy,1:yes
@NecrotizinFlesh,2:no
@Prolifefriend,1:yes
@nursehentai,1:yes
@LenezLeuname,1:yes
@achidhaa,1:yes
@Queenbeehaven,1:yes
@bekah_c,1:yes
@CindytrrttNabb,1:yes
@FourNurses,1:yes
@MissMaldanoxo,1:yes
@SexyFurFlorence,1:yes
@DukeLegalNurse,1:yes
@HelpingTheSick,1:yes
@nealyabell,2:no
@Nurse_Joy_Lewd,1:yes
@patricialjutic,1:yes
@DrSandraBauman,1:yes
@SharonvandeVen,2:no
@SchoolGirlYumi,1:yes
@Amine5x9,1:yes
@Rattus2025,1:yes
@AistropeKyndall,1:yes
@maryelang,1:yes
@Nursing2016,1:yes
@tempestory,1:yes
@ythwi,2:no
@ConrisBristol,2:no
@PUNC14Lauren,1:yes
@surreyresthomes,1:yes
@SpexyLexi,1:yes
@SweetHeartAd,1:yes
@kaloucks,1:yes
@tmj_ky_nursing,1:yes
@Health_Staffing,2:no
@doctornowGP,2:no
@songofjoy5,2:no
@ChantryVets,1:yes
@outseym,1:yes
@PUNC14S_Aimee87,1:yes
@bearcunningham,1:yes
@PUNC14SDCG,1:yes
@citistroller,1:yes
@OctopusIMS,1:yes
@ButJazz_10,2:no
@TheHornyNurse,1:yes
@AnaesthetistSto,2:no
@NathanRichard11,1:yes
@InnovationChow,2:no
@nursesharkey29,2:no
@C_Dodger,1:yes
@srikrishnahari,1:yes
@vsraju1000,1:yes
@KYTrialAttorney,1:yes
@beeeecks1992,1:yes
@ayhu_pusvita,1:yes
@AriseHomeHealth,1:yes
@jessica_hindley,1:yes
@punc14eddie,1:yes
@tmj_nya_nursing,1:yes
@Azm_nurses,1:yes
@shahidahmed,2:no
@onigrnao,1:yes
@BittenJonsson,1:yes
@CharDelar5,2:no
@agingisanoption,2:no
@ACLifeSegments,2:no
@SSSnursing,1:yes
@hanooda246,1:yes
@Loudermilk11,1:yes
@tamicrupi,1:yes
@angelarenemccla,1:yes
@ERnurseprobs,1:yes
@Lilisnyun,1:yes
@RFreeman_RN,1:yes
@NurseNextDoorED,2:no
@izc_17632,1:yes
@MothersNatureMA,2:no
@deannaromm,2:no
@OfficialSaraFr,1:yes
@moniquemantala7,2:no
@RNdelivers,2:no
@qshift,1:yes
@Plymouth_NurSoc,1:yes
@jasonmckinney44,1:yes
@LebanonPark,2:no
@Lucy1995xXx,1:yes
@jeff_seely,1:yes
@Call4Nurse,2:no
@no1offers_tees,2:no
@NursesStation,1:yes
@LindahWN,1:yes
@nurses4change17,1:yes
@deanha_lova,1:yes
@GoBrandonJ,1:yes
@carolyn_laura,1:yes
@sim_central,1:yes
@aprilsimons,1:yes
@tmj_rip_nursing,1:yes
@amychangbang,1:yes
@asthmanz,1:yes
@adamsdementia,1:yes
@DigniCARE,1:yes
@Ryanmitch247,1:yes
@ANMFTasmania,1:yes
@tmj_jax_nursing,1:yes
@nurse_emily,1:yes
@hundredhouse,1:yes
@ClairSymonds,1:yes
@GalenNursing,1:yes
@GCUAdultNursing,1:yes
@ddnanational,1:yes
@monalizamendoza,1:yes
@wiraida_niki2,1:yes
@SkinnyNurses,1:yes
@NHSRU,1:yes
@JinxxRaven,1:yes
@PrincessGurdy,1:yes
@ffionhughes4_,1:yes
@wjOd7,1:yes
@mariebethk,2:no
@FairyFlairParty,1:yes
@GemmaCash6,1:yes
@Love4theelderly,1:yes
