inst#,actual,predicted,error,prediction
1,1:yes,2:no,+,0.899
2,2:no,1:yes,+,1
3,1:yes,1:yes,,1
4,2:no,1:yes,+,0.888
5,1:yes,1:yes,,1
6,2:no,1:yes,+,0.985
7,1:yes,2:no,+,0.73
8,1:yes,1:yes,,0.905
9,1:?,1:yes,,0.999
10,1:?,1:yes,,1
11,1:?,1:yes,,1
12,1:?,1:yes,,0.922
13,1:?,2:no,,1
14,1:?,1:yes,,0.999
15,1:?,1:yes,,0.978
16,1:?,1:yes,,1
17,1:?,1:yes,,0.999
18,1:?,2:no,,1
19,1:?,1:yes,,0.998
20,1:?,2:no,,1
21,1:?,2:no,,1
22,1:?,2:no,,1
23,1:?,2:no,,1
24,1:?,2:no,,1
25,1:?,1:yes,,0.791
26,1:?,2:no,,0.993
27,1:?,1:yes,,0.738
28,1:?,2:no,,1
29,1:?,1:yes,,1
30,1:?,1:yes,,1
31,1:?,1:yes,,1
32,1:?,1:yes,,1
33,1:?,1:yes,,0.994
34,1:?,1:yes,,0.999
35,1:?,1:yes,,1
36,1:?,2:no,,0.994
37,1:?,2:no,,0.989
38,1:?,1:yes,,0.991
39,1:?,2:no,,1
40,1:?,2:no,,0.79
41,1:?,1:yes,,0.857
42,1:?,2:no,,1
43,1:?,1:yes,,0.999
44,1:?,1:yes,,0.994
45,1:?,1:yes,,0.996
46,1:?,2:no,,0.793
47,1:?,2:no,,0.968
48,1:?,1:yes,,0.995
49,1:?,1:yes,,1
50,1:?,1:yes,,0.998
51,1:?,2:no,,0.573
52,1:?,1:yes,,0.973
53,1:?,1:yes,,0.853
54,1:?,1:yes,,0.995
55,1:?,1:yes,,0.578
56,1:?,1:yes,,1
57,1:?,2:no,,0.942
58,1:?,1:yes,,0.968
59,1:?,1:yes,,0.932
60,1:?,1:yes,,0.7
61,1:?,2:no,,1
62,1:?,1:yes,,0.964
63,1:?,1:yes,,0.651
64,1:?,1:yes,,0.962
65,1:?,2:no,,1
66,1:?,2:no,,0.984
67,1:?,2:no,,0.817
68,1:?,2:no,,1
69,1:?,2:no,,1
70,1:?,2:no,,1
71,1:?,1:yes,,0.809
72,1:?,2:no,,1
73,1:?,2:no,,0.999
74,1:?,2:no,,1
75,1:?,2:no,,1
76,1:?,2:no,,1
77,1:?,2:no,,1
78,1:?,2:no,,0.999
79,1:?,1:yes,,0.711
80,1:?,2:no,,0.999
81,1:?,2:no,,1
82,1:?,1:yes,,0.5
83,1:?,2:no,,0.837
84,1:?,1:yes,,0.901
85,1:?,1:yes,,0.949
86,1:?,2:no,,1
87,1:?,2:no,,0.526
88,1:?,1:yes,,0.998
89,1:?,2:no,,0.821
90,1:?,1:yes,,0.998
91,1:?,2:no,,0.936
92,1:?,1:yes,,0.878
93,1:?,2:no,,0.96
94,1:?,1:yes,,0.995
95,1:?,1:yes,,0.979
96,1:?,2:no,,0.756
97,1:?,2:no,,0.913
98,1:?,1:yes,,0.787
99,1:?,2:no,,1
100,1:?,1:yes,,0.994
101,1:?,2:no,,0.893
